Year,Set,Exam Code,Source File,Chapter,Question Number,Question Type,Question Text
2022,1,1,2-1-1_English Language and Literature.pdf,Writing and Grammar,4,Long Answer,"4. Attempt any one from (a) and (b) given below : 5 (a) You are Soumya Hansal / Sumit Hansal living at F-32, Shanti Nagar, Vayugarh. Seeing the inadequate healthcare infrastructure in your town, write a letter to the MLA of your area, in about 120 words, suggesting the need for improving existing healthcare facilities and creating more ‘‘Wellness Centres’’ including a specialized hospital for children and women. OR (b) You are Risha Khan / Zuhaan Khan, the sports captain of Highrise Public School, New Line, Rai Nagar. You believe that games and sports are an integral part of a student’s life. Write a letter to the editor of a national daily, in about 120 words, sharing your views on the importance of physical education and suggesting the need to establish a dedicated sports university, so that students can pursue and focus on their favourite sport."
2022,1,1,2-1-1_English Language and Literature.pdf,Writing and Grammar,5,Long Answer,"5. Attempt any one from (a) and (b) given below : 5 (a) In the past few years, the teaching-learning process has taken a leap and gone beyond the four walls of the classroom. Today, it has become possible to learn not just by sitting in a physical classroom, but from anywhere. Given below is a chart depicting the differences between E-learning and Classroom learning. Write an analytical paragraph in about 120 words, assessing the benefits and drawbacks of both, by selecting features that support your analysis. E-learning vs. Classroom learning  same place, same time  accessible anytime anywhere  at your own pace  caters to the needs of the class  transportation cost and time  no travel costs, saves time consuming OR (b) Read the given details of a computer. * electronic device that can store and process information * makes life easy and simple * physical description — monitor, keyboard, CPU and mouse * computer technology used in all fields — education, medicine, commerce, entert"
2022,1,1,2-1-1_English Language and Literature.pdf,Literature,6,MCQ,"6. Read the following extracts and answer the questions for any one of the given two, (a) or (b) : 5 (a) Not a leaf remained on the trees. The corn was totally destroyed. The flowers were gone from the plants. Lencho’s soul was filled with sadness. When the storm had passed, he stood in the middle of the field and said to his sons, ‘‘A plague of locusts would have left more than this. The hail has left nothing. This year we will have no corn.’’ That night was a sorrowful one. ‘‘All our work, for nothing.’’ ‘‘There’s no one who can help us.’’ ‘‘We’ll all go hungry this year.’’ (A Letter to God) (i) Why were there no leaves left on the trees ? 1 (A) The locusts ate them up. (B) An earthquake had occurred. (C) There was a hailstorm. (D) The animals grazed on them. (ii) Fill in the blank with the correct word from the brackets. Lencho felt __________ (jubilant/devastated) when he saw his destroyed corn fields. 1 (iii) When Lencho says, ‘‘All our work, for nothing,’’ what does he refer to ?"
2022,1,1,2-1-1_English Language and Literature.pdf,Literature,7,Gap Fill,"7. Read the following extracts and answer the questions for any one of the given two, (a) or (b) : 5 (a) ‘‘I heard an old religious man But yesternight declare That he had found a text to prove That only God, my dear, Could love you for yourself alone And not your yellow hair.’’ (For Anne Gregory) (i) Complete the sentence appropriately : 1 The speaker addresses the person he is speaking to as ‘‘my dear’’ because ___________. (ii) The poet mentions ‘‘yellow hair’’. What is its significance in the context of the statement ? Answer in about 40 words. 2 (iii) Fill in the blank with the correct word from the brackets. 1 The poet suggests that God’s love in comparison to that of a human being is ____________ (selfish/selfless). (iv) As per the above extract, what attributes does God not love a person for ? Select the correct option. 1"
2022,1,1,2-1-1_English Language and Literature.pdf,Literature,1,General,1. Wealth 2. Physical appearance
2022,1,1,2-1-1_English Language and Literature.pdf,Literature,3,General,3. Intelligence 4. Inner qualities
2022,1,1,2-1-1_English Language and Literature.pdf,Literature,5,MCQ,"5. Youth (A) 1 and 4 (B) 3, 4, and 5 (C) 2 and 4 (D) Only 4 OR (b) He stalks in his vivid stripes The few steps of his cage, On pads of velvet quiet, In his quiet rage. He should be lurking in shadow, Sliding through long grass (A Tiger in the Zoo) (i) Identify and name any one figure of speech in the above extract. 2 (ii) Fill in the blank with one word. 1 The tiger’s stalking on ‘pads of velvet’ suggests a movement that is ___________. (iii) Based on the given lines from the poem, which words would best describe the feelings of the tiger ? 1 (A) Calm and content (B) Both subdued and angry (C) Both frustrated and happy (D) Both angry and famished (iv) Select the option that applies the same rhyme scheme as the first four lines of the given extract. 1 (A) The people along the sand All turn and look one way They turn their back on the land They look at the sea all day (B) Along the sand, the people All turn and look one way They turn back on the sand They look at the sea all day (C) The"
2022,1,1,2-1-1_English Language and Literature.pdf,Literature,8,General,"8. Answer any four of the following five questions in 40 – 50 words each : 43=12 (i) Mandela in his speech says, ‘‘The policy of apartheid created a deep and lasting wound in my country and my people.’’ Explain the significance of the word ‘‘wound’’ as used by Mandela. (Nelson Mandela – Long Walk to Freedom) (ii) ‘Dust of Snow’, by Robert Frost is a poem about nature and simplicity. Elaborate. (iii) Explain the reasons for Rajvir’s excitement on seeing the plantation and Pranjol’s lack of enthusiasm. (Glimpses of India – Tea from Assam) (iv) Analyze how Wells employs humour, rhyme, and exaggerated traits to not only entertain, but also educate readers about various wild animals. Explain. (How to Tell Wild Animals) (v) Mijbil’s transportation to England was no less than a nightmare for the author. Justify the statement using incidents from the lesson. (Mijbil the Otter)"
2022,1,1,2-1-1_English Language and Literature.pdf,Literature,9,General,"9. Answer any two of the following three questions in 40 – 50 words each : 23=6 (i) Analyze how Herriot uses Tricki and Mrs. Pumphrey’s relationship to comment on societal attitudes towards pets and the responsibilities associated with their care. (A Triumph of Surgery) (ii) Today reading books is on the decline because of the prevalence of electronic media. Contrarily, earth is saved by a ‘Book’ in the chapter ‘‘The Book That Saved the Earth’’. Elaborate. (iii) Discuss the character development of Griffin, as he grapples with the repercussions of his actions and attempts to navigate a world, where his once extraordinary abilities have become a burden. (Footprints without Feet)"
2022,1,1,2-1-1_English Language and Literature.pdf,Literature,10,Long Answer,"10. Answer any one of the following two questions in 100 – 120 words : 6 (a) Amanda and Valli both represent a longing for freedom. Examine the above observation with reference to the two texts. (Amanda and Madam Rides the Bus) OR (b) In ‘The Ball Poem’’, Berryman explores the themes of loss, growing up, and transformation. Mandela also experienced loss of freedom and suffering along with his countrymen during his growing years on the basis of his race and colour. Compare and contrast the commonality of themes in both the texts. (The Ball Poem and Nelson Mandela – Long Walk to Freedom)"
2022,1,1,2-1-1_English Language and Literature.pdf,Literature,11,Long Answer,"11. Answer any one of the following two questions in 100 – 120 words : 6 (a) Horace ends up in prison only to regret that a man should not trust anyone blindly without finding out the truth. Do you think his own foolishness was responsible for his arrest ? Give a reasoned answer. (A Question of Trust) OR (b) Matilda’s character embodies the journey of change or progression throughout the story, encapsulating the transformations she endured as a consequence of her experiences, trials, and engagements with other characters. In the light of the above information, trace the transformation seen in Matilda’s character in the story. (The Necklace)"
2022,2,1,2-1-2 English L & L.pdf,Reading Comprehension,1,Comprehension,"1. Read the passage given below : Sifting through the sands of time 1 ntains, skeletons of marine animals, even tiny diamonds. Sand provides a mineral treasure- -changing processes. 2 Sand : as children we play on it and as adults we relax on it. It is something we complain about when it gets in our food, and praise we would discover an account of a geological past and a history of marine life that goes back thousands and, in some cases, millions of years. 3 Sand covers not just sea-shores, but also ocean beds, deserts and mountains. It is one of the most common substances on Earth. And it is a major element in man-made items too concrete is largely sand, while glass is made of little else. 4 What exactly is sand ? Well, it is larger than fine dust and smaller than shingle. Depending on its age and origin, a particular sand can consist of tiny pebbles or porous granules. Its grain may have the shape of stars or spirals, their edges jagged or smooth. They have come from the erosion of r"
2022,2,1,2-1-2 English L & L.pdf,Reading Comprehension,2,Comprehension,"2. Read the passage given below : Extraction And Purification Of Drinking Water 1 Some consumers choose to purchase bottled drinking water, rather than relying on city tap water supplies. Bottled water has typically been extracted from underground sources. If water exists underground, but has no natural exit points, bottling companies may construct a water table well by drilling down to extract water from an unconfined aquifer. This is done when the known as a water table In some cases, as with a valley or gully on a mountain, the level of the spring can emerge. Bottling companies are permitted to extract this water from a hole drilled into the underground spring, but the composition of the water must be identical to that of the naturally surfacing variety nearby. 2 Artesian water is drawn from a confined aquifer, a deep underground cavity of porous rock that holds water and bears pressure from a confining layer above it. This water can be accessed if companies drill a vertical channel"
2022,2,1,2-1-2 English L & L.pdf,Writing and Grammar,3,Long Answer,"3. Attempt any one from (i) and (ii). (i) You are Sudha/Sudhir, Principal of Vasant School, Agra. Your school has started a Music Department. Write a letter to the Manager of Melody House, M.G. Road, Agra, wholesale suppliers of musical instruments, placing a detailed order for five musical instruments for the school. Ask for a discount on the catalogue price. 5 (ii) Conventional forms of marketing have been replaced by technology-driven digital or online marketing methods. These methods are a better contributor to business expansion. Write a paragraph in not more than 120 words analysing the following information : 5 Digital Marketing Benefits For The Visually Impaired Candidates only (in lieu of Q. No. 3(ii)) : (ii) In the technology-driven world, there is a need for complete digital transformation in business. 5 Write an analytical paragraph of 100 120 words on the importance of digital marketing. You could use the following cues : It is cost effective, helps small businesses Wide r"
2022,2,1,2-1-2 English L & L.pdf,Writing and Grammar,4,Gap Fill,4. The following paragraph has not been edited. There is one error in each line. Identify the error and write its correction against the correct blank number. Remember to underline the correction. The first one has been done for you. 3 1=3 Error Correction A teacher was teaching an important lesson on the class (e.g.) on in when he notice that a student (a) _________ _________ sitting on the back (b) _________ _________ of the classroom has fallen (c) _________ _________ asleep during his lecture.
2022,2,1,2-1-2 English L & L.pdf,Writing and Grammar,5,General,5. Read the conversation given below and complete the paragraph that follows : 1 2=2 Passenger : Please give me three tickets to India Gate. Conductor : Ten rupees a ticket. The passenger requested the conductor (a) __________ . The conductor replied that (b) _________ .
2022,2,1,2-1-2 English L & L.pdf,Literature,6,Short Answer,"6. Answer any six questions in 30 40 words each : 6 2=12 (i) How, according to Buddha, can one obtain peace of mind ? (The Sermon at Benares) (ii) ! ? (iii) shows his preference for living with animals. Justify. (iv) Write a brief character sketch of Lomov. (The Proposal) (v) What are the essential qualities for becoming a scientist, according to Ebri (vi) Describe the feelings of the young lawyer when he came to know the reality of the hack driver. (vii) What attracts visitors to Coorg ? (Glimpses of India)"
2022,2,1,2-1-2 English L & L.pdf,Literature,7,Long Answer,7. Answer any two of the following in about 100 120 words each : 2 4=8 (i) Write a brief character sketch of the hack driver. (ii) Imagine you are Bholi and you have been invited to give a speech on the importance of Girl Education and Empowerment. (iii) Valli was a mature girl and ahead of her age. Justify the statement with evidence from the text. (Madam Rides the Bus)
2022,2,1,2-1-2_English Language and Literature.pdf,Reading Comprehension,1,MCQ,"1. Read the following passage carefully : 10 (1) Saffron is a spice that’s long been revered across the globe, captivating hearts and palates with its deep-red hue and complex flavour. It is one of the most prized spices that you can find on this planet. Just like gold is among the most valuable metals in the world, saffron means the same in the world of spices. Also known as ‘kesar’ in Hindi, it has a rich history and is often called an ancient spice. Saffron is being used since ages in various foods made for the royals and the elite as it contains medicinal properties. (2) Originating from the delicate stigma of the saffron crocus flower, it transforms the ordinary into the extraordinary, infusing dishes with a subtle, earthy sweetness that adds a special taste to the palate. Saffron has a strong exotic aroma and a unique flavour and is used to colour and flavour many Mediterranean and Asian dishes, particularly rice, fish and English, Scandinavian, and Balkan breads. (3) Saffron for"
2022,2,1,2-1-2_English Language and Literature.pdf,Reading Comprehension,2,MCQ,"2. Read the following passage carefully : 10 (1) Silk is a natural protein fibre, some forms of which can be woven into textiles. Silk has a long history in India. It is known as Resham in eastern and northern India, and Pattu in the southern parts of India. India is the second largest producer of silk in the world after China. (2) Silk is renowned for its luxurious qualities with a natural soft and smooth texture that feels comfortable on the skin. One of its unique qualities is to absorb and release moisture, regulating the body temperature, and keeping the wearer cool and dry. (3) Silk is one of the strongest natural fibres, but it loses up to 20% of its strength when wet. Its elasticity is moderate to poor: if elongated even a small amount, it remains stretched. It can be weakened if exposed to too much sunlight. It may also be attacked by insects, especially if left dirty. (4) The process of silk production is known as sericulture. Silk is produced by several insects; but, general"
2022,2,1,2-1-2_English Language and Literature.pdf,Writing and Grammar,3,MCQ,"3. Complete any ten of the following twelve tasks, as directed. 101=10 (i) Fill in the blank by using the correct form of the word in the brackets, for the given portion of a letter. 1 ‘Thank you for _________ (consider) my application. I look forward to working in your organization. (ii) Read the given sentence. Identify the error and supply the correction in the sentence. Ninety-seven percent of the Earth’s water is salty ocean water and another two percent is trapping in the Earth’s ice caps and glaciers. 1 Error Correction (iii) Yukti and Sanjay had a conversation about going to a restaurant. Report Yukti’s question. 1 ‘‘Does this restaurant serve good South Indian food ?’’ (iv) Read the dialogue between Amit and his sister Ananya, regarding her travel to the railway station. 1 Amit : Are you sure you can manage to go to the railway station on your own ? Ananya : Oh yes! I have already booked a cab. Select the correct option to report the above dialogue. Amit asked Ananya ________"
2022,2,1,2-1-2_English Language and Literature.pdf,Writing and Grammar,4,Long Answer,"4. Attempt any one from (a) and (b) given below : 5 (a) You are Rashmi / Roshan, a concerned citizen, residing at G-16, Himmat Path, Nayanagar. Compose a letter in about 120 words to the Director, Municipal Corporation, drawing his attention to the open drains in your colony. The drains are not only the breeding ground for disease-causing organisms but are also polluting the surrounding areas, especially the water bodies which could lead to water-borne diseases. Suggest measures for addressing this issue. OR (b) You are Mamta / Manish, a student of Grade 11 of Hitech Public School Roopbagh. You have recently volunteered as a student-teacher in a three-week literacy camp held for the children of construction site workers in your neighbourhood. It was a fulfilling and a meaningful experience for you. It sensitized you to the needs of the community, boosted your confidence, and improved your social skills. Write a letter in about 120 words to the editor of a national daily expressing your"
2022,2,1,2-1-2_English Language and Literature.pdf,Writing and Grammar,5,Long Answer,"5. Attempt any one from (a) and (b) given below : 5 (a) In the past few years, the teaching-learning process has taken a leap and gone beyond the four walls of the classroom. Today, it has become possible to learn not just by sitting in a physical classroom, but from anywhere. Given below is a chart depicting the differences between E-learning and Classroom learning. Write an analytical paragraph in about 120 words, assessing the benefits and drawbacks of both, by selecting features that support your analysis. E-learning vs. Classroom learning  same place, same time  accessible anytime anywhere  caters to the needs of the class  at your own pace  transportation cost and time  no travel costs, saves time consuming OR (b) Read the given details of a computer. * electronic device that can store and process information * makes life easy and simple * physical description — monitor, keyboard, CPU and mouse * computer technology used in all fields — education, medicine, commerce, entert"
2022,2,1,2-1-2_English Language and Literature.pdf,Literature,6,MCQ,"6. Read the following extracts and answer the questions for any one of the given two, (a) or (b) : 5 (a) Not a leaf remained on the trees. The corn was totally destroyed. The flowers were gone from the plants. Lencho’s soul was filled with sadness. When the storm had passed, he stood in the middle of the field and said to his sons, ‘‘A plague of locusts would have left more than this. The hail has left nothing. This year we will have no corn.’’ That night was a sorrowful one. ‘‘All our work, for nothing.’’ ‘‘There’s no one who can help us.’’ ‘‘We’ll all go hungry this year.’’ (A Letter to God) (i) Why were there no leaves left on the trees ? 1 (A) The locusts ate them up. (B) An earthquake had occurred. (C) There was a hailstorm. (D) The animals grazed on them. (ii) Fill in the blank with the correct word from the brackets. Lencho felt __________ (jubilant/devastated) when he saw his destroyed corn fields. 1 (iii) When Lencho says, ‘‘All our work, for nothing,’’ what does he refer to ?"
2022,2,1,2-1-2_English Language and Literature.pdf,Literature,7,Gap Fill,"7. Read the following extracts and answer the questions for any one of the given two, (a) or (b) : 5 (a) ‘‘I heard an old religious man But yesternight declare That he had found a text to prove That only God, my dear, Could love you for yourself alone And not your yellow hair.’’ (For Anne Gregory) (i) Complete the sentence appropriately : 1 The speaker addresses the person he is speaking to as ‘‘my dear’’ because ___________. (ii) The poet mentions ‘‘yellow hair’’. What is its significance in the context of the statement ? Answer in about 40 words. 2 (iii) Fill in the blank with the correct word from the brackets. 1 The poet suggests that God’s love in comparison to that of a human being is ____________ (selfish/selfless). (iv) As per the above extract, what attributes does God not love a person for ? Select the correct option. 1"
2022,2,1,2-1-2_English Language and Literature.pdf,Literature,1,General,1. Wealth 2. Physical appearance
2022,2,1,2-1-2_English Language and Literature.pdf,Literature,3,General,3. Intelligence 4. Inner qualities
2022,2,1,2-1-2_English Language and Literature.pdf,Literature,5,MCQ,"5. Youth (A) 1 and 4 (B) 3, 4, and 5 (C) 2 and 4 (D) Only 4 OR (b) He stalks in his vivid stripes The few steps of his cage, On pads of velvet quiet, In his quiet rage. He should be lurking in shadow, Sliding through long grass (A Tiger in the Zoo) (i) Identify and name any one figure of speech in the above extract. 2 (ii) Fill in the blank with one word. 1 The tiger’s stalking on ‘pads of velvet’ suggests a movement that is ___________. (iii) Based on the given lines from the poem, which words would best describe the feelings of the tiger ? 1 (A) Calm and content (B) Both subdued and angry (C) Both frustrated and happy (D) Both angry and famished (iv) Select the option that applies the same rhyme scheme as the first four lines of the given extract. 1 (A) The people along the sand All turn and look one way They turn their back on the land They look at the sea all day (B) Along the sand, the people All turn and look one way They turn back on the sand They look at the sea all day (C) The"
2022,2,1,2-1-2_English Language and Literature.pdf,Literature,8,General,8. Answer any four of the following five questions in 40 – 50 words each : 43=12 (i) Why does the author use the phrase ‘‘that drove a law-abiding citizen to become a criminal’’ to describe Mandela ? (Nelson Mandela – Long Walk to Freedom) (ii) What happened to the poet when a dust of snow fell on him ? (Dust of Snow) (iii) How does the author support the view that the people of Coorg are possibly of Arabic descent ? (Glimpses of India – Coorg) (iv) Mention two points of difference between a Bengal tiger and an Asiatic lion. (How to Tell Wild Animals) (v) What efforts did the narrator make to get his mail from Europe ? (Mijbil the Otter)
2022,2,1,2-1-2_English Language and Literature.pdf,Literature,9,General,"9. Answer any two of the following three questions in 40 – 50 words each : 23=6 (i) Analyze how Herriot uses Tricki and Mrs. Pumphrey’s relationship to comment on societal attitudes towards pets and the responsibilities associated with their care. (A Triumph of Surgery) (ii) Today reading books is on the decline because of the prevalence of electronic media. Contrarily, earth is saved by a ‘Book’ in the chapter ‘‘The Book That Saved the Earth’’. Elaborate. (iii) Discuss the character development of Griffin, as he grapples with the repercussions of his actions and attempts to navigate a world, where his once extraordinary abilities have become a burden. (Footprints without Feet)"
2022,2,1,2-1-2_English Language and Literature.pdf,Literature,10,Long Answer,"10. Answer any one of the following two questions in 100 – 120 words : 6 (a) Amanda and Valli both represent a longing for freedom. Examine the above observation with reference to the two texts. (Amanda and Madam Rides the Bus) OR (b) In ‘The Ball Poem’’, Berryman explores the themes of loss, growing up, and transformation. Mandela also experienced loss of freedom and suffering along with his countrymen during his growing years on the basis of his race and colour. Compare and contrast the commonality of themes in both the texts. (The Ball Poem and Nelson Mandela – Long Walk to Freedom)"
2022,2,1,2-1-2_English Language and Literature.pdf,Literature,11,Long Answer,"11. Answer any one of the following two questions in 100 – 120 words : 6 (a) How did the lady in red manage to outsmart and outmaneuver the other thief, Horace Danby, by robbing the safe without leaving a single fingerprint ? (A Question of Trust) OR (b) How did Mr. & Mrs. Loisel replace the lost necklace ? What kind of life did the Loisels lead thereafter ? (The Necklace)"
2022,3,1,2-1-3 English L & L.pdf,Reading Comprehension,1,Comprehension,"1. Read the passage given below : Sifting through the sands of time 1 ntains, skeletons of marine animals, even tiny diamonds. Sand provides a mineral treasure- -changing processes. 2 Sand : as children we play on it and as adults we relax on it. It is something we complain about when it gets in our food, and praise we would discover an account of a geological past and a history of marine life that goes back thousands and, in some cases, millions of years. 3 Sand covers not just sea-shores, but also ocean beds, deserts and mountains. It is one of the most common substances on Earth. And it is a major element in man-made items too concrete is largely sand, while glass is made of little else. 4 What exactly is sand ? Well, it is larger than fine dust and smaller than shingle. Depending on its age and origin, a particular sand can consist of tiny pebbles or porous granules. Its grain may have the shape of stars or spirals, their edges jagged or smooth. They have come from the erosion of r"
2022,3,1,2-1-3 English L & L.pdf,Reading Comprehension,2,Comprehension,"2. Read the passage given below : Extraction And Purification Of Drinking Water 1 Some consumers choose to purchase bottled drinking water, rather than relying on city tap water supplies. Bottled water has typically been extracted from underground sources. If water exists underground, but has no natural exit points, bottling companies may construct a water table well by drilling down to extract water from an unconfined aquifer. This is done when the known as a water table In some cases, as with a valley or gully on a mountain, the level of the spring can emerge. Bottling companies are permitted to extract this water from a hole drilled into the underground spring, but the composition of the water must be identical to that of the naturally surfacing variety nearby. 2 Artesian water is drawn from a confined aquifer, a deep underground cavity of porous rock that holds water and bears pressure from a confining layer above it. This water can be accessed if companies drill a vertical channel"
2022,3,1,2-1-3 English L & L.pdf,Writing and Grammar,3,Long Answer,"3. Attempt any one from (i) and (ii). (i) You are Ankita/Ankit. You wish to pursue a course on Director, Scaler Data Science, enquiring about the eligibility, duration, fee, scholarship and placement, etc. 5 (ii) In the technology-driven world, children are spending longer hours of screen time leading to concerns regarding health and social skills. Write a paragraph of not more than 120 words analyzing the given information : 5 Mobile Social Online iPad Laptop Internet Research Entertainment phone media classes Screen Time Effects Weakening Poor social Increasing Sedentary Obesity eyesight skills isolation lifestyle For The Visually Impaired Candidates only (in lieu of Q. No. 3(ii)) : (ii) These days there has been excessive use of screen time by students. Moreover, it cannot be denied that a child of the digital era cannot be separated from technology. Write an analytical paragraph in about 100 5 You could use the following cues : Technology has changed our lifestyle Screens refer to "
2022,3,1,2-1-3 English L & L.pdf,Writing and Grammar,4,Gap Fill,4. The following paragraph has not been edited. There is one error in each line. Identify the error and write its correction against the correct blank number. Remember to underline the correction. The first one has been done for you. 3 1=3 Error Correction What about low carb and keto diet (e.g.) diet diets that is popular today ? (a) _________ _________ May they play a major role (b) _________ _________ on managing diabetes ? (c) _________ _________
2022,3,1,2-1-3 English L & L.pdf,Writing and Grammar,5,General,"5. Read the conversation given below and complete the paragraph that follows : 2 1=2 Mother : Rita finish your food. Rita : burger. Mother : birthday party last evening. Rita : Give me french fries and milk shake. Mother : If you live on junk food you will spoil your health. Mother told Rita to finish her food. Rita replied that she did not want to have that food, and added . Mother advised her that they were not good for health, and added that she had eaten previous evening. Rita then asked her mother (a) _________ . Mother warned her that (b) _________ ."
